Member Association,Confederation,Incoming transfers fees,Outgoing transfers fees,Transfers fees spent (USD),Transfers fees received (USD),Transfers Spent,Transfers received,Transfers Balance
Vietnam,AFC,25,17,148k,0,148000,0,-148000
Zimbabwe,CAF,25,3,0,0,0,0,0
Zambia,CAF,24,22,42k,419k,42000,419000,377000
Sudan,CAF,23,15,520k,1.3m,520000,1300000,780000
Congo DR,CAF,23,44,0,498k,0,498000,498000
South Africa,CAF,23,27,6.64m,2.94m,6640000,2940000,-3700000
"Dominican
Republic",Concacaf,22,10,0,0,0,0,0
Uganda,CAF,22,16,0,0,0,0,0
Kenya,CAF,20,19,0,289k,0,289000,289000
Angola,CAF,18,14,0,1m,0,1000000,1000000
Bangladesh,AFC,18,15,0,0,0,0,0
Canada,Concacaf,18,35,1.95m,1.75m,1950000,1750000,-200000
Iceland,UEFA,18,16,29.8k,773k,29800,773000,743200
"Aotearoa
New Zealand",OFC,14,15,0,3.73m,0,3730000,3730000
Burkina Faso,CAF,13,23,0,80.1k,0,80100,80100
Myanmar,AFC,12,1,0,0,0,0,0
Burundi,CAF,12,25,0,0,0,0,0
Senegal,CAF,12,45,0,5.83m,0,5830000,5830000
"Brunei
Darussalam",AFC,11,1,0,0,0,0,0
Jamaica,Concacaf,11,6,0,291k,0,291000,291000
Mozambique,CAF,10,4,0,0,0,0,0
Belize,Concacaf,10,2,0,0,0,0,0
Mongolia,AFC,10,7,0,0,0,0,0
Botswana,CAF,9,11,0,0,0,0,0
"Chinese
Taipei",AFC,9,3,0,0,0,0,0
Ethiopia,CAF,9,3,0,0,0,0,0
Laos,AFC,9,3,0,0,0,0,0
Malaysia,AFC,9,13,0,0,0,0,0
Malawi,CAF,8,2,0,0,0,0,0
Egypt,CAF,7,28,2.57m,10.9m,2570000,10900000,8330000
Mali,CAF,7,29,0,11.5m,0,11500000,11500000
The Gambia,CAF,6,18,0,350k,0,350000,350000
Eswatini,CAF,5,3,25.5k,0,25500,0,-25500
Mauritius,CAF,4,1,0,0,0,0,0
Nepal,AFC,4,4,0,0,0,0,0
Niger,CAF,4,7,0,0,0,0,0
Sierra Leone,CAF,4,3,0,0,0,0,0
Namibia,CAF,3,4,0,0,0,0,0
Djibouti,CAF,3,3,0,0,0,0,0
"Antigua and
Barbuda",Concacaf,1,2,0,0,0,0,0
Guinea,CAF,1,16,0,291k,0,291000,291000
Guyana,Concacaf,1,0,0,0,0,0,0
Haiti,Concacaf,1,2,0,0,0,0,0
Lesotho,CAF,1,2,0,0,0,0,0
,,1,5,0,0,0,0,0
Togo,CAF,1,20,0,0,0,0,0
Turkmenistan,AFC,1,0,0,0,0,0,0
"Turks and
Caicos Islands",Concacaf,0,0,0,0,0,0,0
"American
Samoa",OFC,0,0,0,0,0,0,0
Guam,AFC,0,0,0,0,0,0,0
Anguilla,Concacaf,0,0,0,0,0,0,0
Timor-Leste,AFC,0,0,0,0,0,0,0
Comoros,CAF,0,2,0,0,0,0,0
Afghanistan,AFC,0,2,0,0,0,0,0
Bahamas,Concacaf,0,0,0,0,0,0,0
Barbados,Concacaf,0,0,0,0,0,0,0
Bermuda,Concacaf,0,0,0,0,0,0,0
"Central
African
Republic",CAF,0,1,0,0,0,0,0
Congo,CAF,0,6,0,0,0,0,0
Cuba,Concacaf,0,2,0,0,0,0,0
Fiji,OFC,0,0,0,0,0,0,0
Gabon,CAF,0,5,0,0,0,0,0
Korea DPR,AFC,0,0,0,0,0,0,0
Liberia,CAF,0,4,0,181k,0,181000,181000
Liechtenstein,UEFA,0,0,0,0,0,0,0
Macau,AFC,0,2,0,0,0,0,0
Madagascar,CAF,0,0,0,0,0,0,0
Pakistan,AFC,0,0,0,0,0,0,0
"Papua New
Guinea",OFC,0,1,0,0,0,0,0
Puerto Rico,Concacaf,0,0,0,0,0,0,0
Somalia,CAF,0,0,0,0,0,0,0
Sri Lanka,AFC,0,1,0,0,0,0,0
Suriname,Concacaf,0,0,0,0,0,0,0
Syria,AFC,0,9,0,0,0,0,0
Yemen,AFC,0,1,0,0,0,0,0
"São Tomé
and Príncipe",CAF,0,0,0,0,0,0,0
"Guinea-
Bissau",CAF,0,1,0,0,0,0,0
Samoa,OFC,0,0,0,0,0,0,0
Seychelles,CAF,0,1,0,0,0,0,0
Cabo Verde,CAF,0,2,0,0,0,0,0
Maldives,AFC,0,3,0,0,0,0,0
Chad,CAF,0,0,0,0,0,0,0
"Solomon
Islands",OFC,0,0,0,0,0,0,0
St Lucia,Concacaf,0,0,0,0,0,0,0
"St Vincent
and the
Grenadines",Concacaf,0,0,0,0,0,0,0
Aruba,Concacaf,0,0,0,0,0,0,0
Vanuatu,OFC,0,0,0,0,0,0,0
Tahiti,OFC,0,0,0,0,0,0,0
San Marino,UEFA,0,0,0,0,0,0,0
"Cayman
Islands",Concacaf,0,0,0,0,0,0,0
"St Kitts and
Nevis",Concacaf,0,0,0,0,0,0,0
Dominica,Concacaf,0,0,0,0,0,0,0
Cook Islands,OFC,0,0,0,0,0,0,0
Tonga,OFC,0,0,0,0,0,0,0
"British Virgin
Islands",Concacaf,0,0,0,0,0,0,0
Montserrat,Concacaf,0,0,0,0,0,0,0
"US Virgin
Islands",Concacaf,0,0,0,0,0,0,0
Eritrea,CAF,0,0,0,0,0,0,0
Bhutan,AFC,0,7,0,0,0,0,0
"New
Caledonia",OFC,0,0,0,0,0,0,0
Curaçao,Concacaf,0,0,0,0,0,0,0
South Sudan,CAF,0,0,0,0,0,0,0
